KREIS;GEMEINDE;TYP;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT;NORDWERT;GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;AKTENZEICHEN;DATENDATUM;DATENQUELLE
Dithmarschen;Neuenkirchen;WKA REPower 3.2 M;REpower;93;114;105,2 dB(A)/105,2 dB(A);3200;kW Nennleist. Rotor.;497083;6010114;15.10.2014;03.09.2015;in Betrieb;51075506934;0005;G10/2014/022;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neuenkirchen;REPower 3.2 M;REpower;93;114;105,2 dB(A)/104,2 dB(A);3200;kW Nennleist. Rotor.;497091;6009689;15.10.2014;24.09.2015;in Betrieb;51075506934;0006;G10/2014/023;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-82 E2 ;Enercon;78;82;105,0 dB(A)/103,5 dB(A);2300;kW Nennleist. Rotor.;500156;5976183;19.11.2014;22.10.2015;in Betrieb;51076057278;0001;G10/2014/004;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-82 E2 ;Enercon;78;82;105,0 dB(A)/100,5 dB(A);2300;kW Nennleist. Rotor.;499399;5975667;19.11.2014;27.11.2015;in Betrieb;51076057279;0001;G10/2014/003;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E-82 E2 ;Enercon;108;82;105,0 dB(A)/104,0 dB(A);2300;kW Nennleist. Rotor.;500290;5974951;19.11.2014;01.12.2015;in Betrieb;51076057280;0001;G10/2014/007;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Senvion 3.4 M 104;Senvion;98;104;105,6 dB(A) / 100,0 dB(A);3370;kW Nennleist. Rotor.;505289;5974788;13.08.2014;03.10.2015;in Betrieb;51076057281;0001;G10/2014/050;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Senvion 3.4 M 104;Senvion;98;104;105,6 dB(A) / 100,0 dB(A);3370;kW Nennleist. Rotor.;505048;5974992;13.08.2014;15.10.2015;in Betrieb;51076057282;0001;G10/2014/049;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;80;104;105,6 dB(A)/101,7 dB(A);3370;kW Nennleist. Rotor.;504331;5974173;23.05.2012;01.05.2013;in Betrieb;51076057283;0001;G10/2011/079;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;80;104;105,6dB(A)/105,6 dB(A);3370;kW Nennleist. Rotor.;504608;5974441;23.05.2012;01.05.2013;in Betrieb;51076057284;0002;G10/2011/080;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;80;104;105,6 dB(A)/105,6 dB(A);3370;kW Nennleist. Rotor.;504442;5973796;23.05.2012;01.05.2013;in Betrieb;51076057285;0001;G10/2011/082;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;98;104;105,6;3370;kW Nennleist. Rotor.;504965;5974273;23.05.2012;01.05.2013;in Betrieb;51076057286;0006;G10/2011/084;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E 115;Enercon;149,1;115,7;106,0 104,3;3200;kW Nennleist. Rotor.;504167;5975044;07.05.2020;09.12.2022;in Betrieb;51076057287;0001;G10/2018/083;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E115;Enercon;149;115,7;106,0 104,4;3200;kW Nennleist. Rotor.;504570;5974820;07.05.2020;29.12.2022;in Betrieb;51076057287;0002;G10/2018/084;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E115;Enercon;149;115,7;106,0 101,7;3200;kW Nennleist. Rotor.;504265;5974755;07.05.2020;09.11.2022;in Betrieb;51076057287;0003;G10/2018/085;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;92;115,7;106,0 100,5;3200;kW Nennleist. Rotor.;503492;5975136;30.04.2020;05.01.2022;in Betrieb;51076057288;0001;G10/2018/059;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;92;115,7;106,0 100,0;3200;kW Nennleist. Rotor.;503953;5975302;30.04.2020;24.11.2021;in Betrieb;51076057288;0002;G10/2018/060;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;92;115,7;106,0 100,6;3200;kW Nennleist. Rotor.;504238;5975504;30.04.2020;19.11.2021;in Betrieb;51076057288;0003;G10/2018/061;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;92;115,7;106,0 101,6;3200;kW Nennleist. Rotor.;504654;5975506;30.04.2020;24.02.2022;in Betrieb;51076057288;0004;G10/2018/062;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;149;115,7;106,0 103,4;3200;kW Nennleist. Rotor.;503800;5974970;30.04.2020;09.11.2022;in Betrieb;51076057288;0005;G10/2018/063;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;149;115,7;106,0 104,4;3200;kW Nennleist. Rotor.;504415;5975272;30.04.2020;25.11.2022;in Betrieb;51076057288;0006;G10/2018/064;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;149;115,7;106,0 101,3;3200;kW Nennleist. Rotor.;504896;5975288;30.04.2020;09.12.2022;in Betrieb;51076057288;0007;G10/2018/065;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-115 E1;Enercon;92;115,7;106,0 98,6;3200;kW Nennleist. Rotor.;503753;5974614;30.04.2020;28.01.2022;in Betrieb;51076057288;0008;G10/2018/066;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E115;Enercon;135,5;115,7;106,0 97,5;3200;kW Nennleist. Rotor.;504061;5974469;07.05.2020;15.06.2022;in Betrieb;51076057290;0001;G10/2018/086;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E-82 E2;Enercon;78,33;82;105,0 dB(A)/100,5 dB(A) ;2300;kW Nennleist. Rotor.;500230;5975986;27.05.2011;15.03.2012;in Betrieb;51076497809;0011;G10/2010/117;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;98;104;105,6;3370;kW Nennleist. Rotor.;504706;5974044;23.05.2012;01.05.2013;in Betrieb;51076497813;0005;G10/2011/083;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E-82 E2;Enercon;78,33;82;105,0 dB(A)/103,5 dB(A) ;2300;kW Nennleist. Rotor.;499760;5975262;27.05.2011;15.03.2012;in Betrieb;51076497815;0001;G10/2010/108;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E-82 E2;Enercon;78,33;82;105,0 dB(A)/100,5 dB(A) ;2300;kW Nennleist. Rotor.;499574;5975517;27.05.2011;15.03.2012;in Betrieb;51076497815;0003;G10/2010/107;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E82 E2;Enercon;78,33;82;105;2300;kW Nennleist. Rotor.;500631;5974597;27.05.2011;15.03.2012;in Betrieb;51076497816;0001;G10/2010/112;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E82 E2;Enercon;78,33;82;105;2300;kW Nennleist. Rotor.;500240;5974556;27.05.2011;15.03.2012;in Betrieb;51076497817;0001;G10/2010/111;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E82 E2;Enercon;78,33;82;105,0 dB(A)/103,5 dB(A) ;2300;kW Nennleist. Rotor.;500085;5974787;27.05.2011;15.03.2012;in Betrieb;51076497819;0001;G10/2010/110;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;Enercon E-82 E2;Enercon;78,33;82;105,0 dB(A)/103,5 dB(A) ;2300;kW Nennleist. Rotor.;499940;5975021;27.05.2011;15.03.2012;in Betrieb;51076497820;0001;G10/2010/109;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Enercon E-82 E2;Enercon;78,33;82;105;2300;kW Nennleist. Rotor.;500553;5974856;27.05.2011;15.03.2012;in Betrieb;51076497821;0001;G10/2010/113;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufelderkoog;Repower MM 82;REpower;59;82;104,4;2000;kW Nennleist. Rotor.;497257;5974077;09.03.2011;10.12.2011;in Betrieb;51077000004;0001;G10/2010/071;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufelderkoog;Vestas V39;Vestas;52;39;103;500;kW Nennleist. Rotor.;498598;5973121;28.05.1993;26.02.1996;in Betrieb;51077000006;0001;185/92;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Neufeld;WKA Repower 3.4M;REpower;80;104;105,6 dB(A)/105,6 dB(A);3370;kW Nennleist. Rotor.;504897;5974699;23.05.2012;01.05.2013;in Betrieb;51077000011;0001;G10/2011/081;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;Nordtank NTK 500/37;Nordtank NTK;35;37;103,3 dB(A)/103,3 dB(A);500;kW Nennleist. Rotor.;491816;6007344;28.05.1993;31.12.1899;in Betrieb;51079345487;0001;102/93;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;Enercon E-70;Enercon;64;71;98,7;2300;kW Nennleist. Rotor.;494594;6008734;16.10.2007;04.06.2009;in Betrieb;51079491876;0001;G40/2006/072;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-70 2,3 MW;Enercon;64;71;97,5;2300;kW Nennleist. Rotor.;494387;6008638;06.03.2008;29.08.2009;in Betrieb;51079491878;0001;G40/2006/200;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-70 E4;Enercon;64;71;97,5;2300;kW Nennleist. Rotor.;494905;6009151;30.04.2009;25.08.2011;in Betrieb;51079491879;0001;G40/2008/162;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-70 E4;Enercon;64;71;97,5;2300;kW Nennleist. Rotor.;494746;6009002;06.08.2010;30.04.2013;in Betrieb;51079491880;0001;G10/2009/070;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E70 E4;Enercon;64;71;104,5 dB(A)/97,5 dB(A);2300;kW Nennleist. Rotor.;493372;6009420;04.01.2011;03.02.2012;in Betrieb;51079491883;0001;G10/2010/072;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E70 E4;Enercon;64;71;104,5 dB(A)/103,3 dB(A);2300;kW Nennleist. Rotor.;493564;6009244;04.01.2011;03.02.2012;in Betrieb;51079491883;0002;G10/2010/073;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E70 E4;Enercon;64;71;103,3 dB(A);2300;kW Nennleist. Rotor.;493755;6009067;04.01.2011;02.02.2012;in Betrieb;51079491883;0003;G10/2010/074;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E70 E4;Enercon;64;71;97,5 dB(A);2300;kW Nennleist. Rotor.;493996;6009063;04.01.2011;28.12.2011;in Betrieb;51079491883;0004;G10/2010/075;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;Enercon E-115 EP3 E3 4.2MW;Enercon;92;115,71;HZ /dB(A) | 63/83 | 125/87,8 | 250/90 | 500/92,6 | 1000/96,4 | 2000/93,4 | 4000/87,7 | 8000/0 | SLP=100,3 dB(A)		;4200;kW Nennleist. Rotor.;493959;6008973;27.09.2023;;vor Inbetriebnahme;51079491883;0005;G10/2023/056;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;Enercon E-115 EP3 E3 4.2MW;Enercon;92;115,71;HZ /dB(A) | 63/85,8 | 125/90,6 | 250/93,6 | 500/96 | 1000/96,7 | 2000/94,1 | 4000/85,2 | 8000/0 | SLP=101,9 dB(A);4200;kW Nennleist. Rotor.;494161;6009165;27.09.2023;;vor Inbetriebnahme;51079491883;0006;G10/2023/057;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-70 E4;Enercon;64;71;97,5;2300;kW Nennleist. Rotor.;494908;6008858;30.04.2009;25.08.2011;in Betrieb;51079491886;0001;G40/2008/163;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/100,0 dB(A);2300;kW Nennleist. Rotor.;493564;6010286;01.06.2015;09.12.2015;in Betrieb;51079491887;0001;G10/2014/097;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/102,5 dB(A);2300;kW Nennleist. Rotor.;493560;6009865;01.06.2015;01.03.2016;in Betrieb;51079491887;0003;G10/2014/098;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/102,5 dB(A);2300;kW Nennleist. Rotor.;493652;6009530;01.06.2015;07.03.2016;in Betrieb;51079491887;0004;G10/2014/099;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/105,0 dB(A);2300;kW Nennleist. Rotor.;494209;6008851;01.06.2015;17.03.2016;in Betrieb;51079491887;0005;G10/2014/100;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;WKA Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/104,0 dB(A);2300;kW Nennleist. Rotor.;494468;6008949;01.06.2015;22.03.2016;in Betrieb;51079491887;0006;G10/2014/101;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norddeich;Enercon E-92 2,3MW;Enercon;104;92;105,0 dB(A)/104,0 dB(A);2300;kW Nennleist. Rotor.;493364;6010085;01.06.2015;15.12.2015;in Betrieb;51079491888;0002;G10/2014/102;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderheistedt;Vestas V112;Vestas;119;112;106,5 dB(A)/ 106,5 dB(A);3300;kW Nennleist. Rotor.;507600;6012078;25.03.2014;24.10.2014;in Betrieb;51080496907;0001;G10/2013/160;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderheistedt;Vestas V112;Vestas;119;112;106,9 dB(A)/106,9 dB(A);3300;kW Nennleist. Rotor.;507855;6012343;25.03.2014;04.11.2014;in Betrieb;51080496907;0002;G10/2013/161;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderheistedt;Vestas V112 3,3 MW;Vestas;119;112;106,6 dB(A)/106,6 dB(A);3300;kW Nennleist. Rotor.;507976;6012081;25.03.2014;10.10.2014;in Betrieb;51080496907;0003;G10/2013/162;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderheistedt;Vestas V112 3,3 MW;Vestas;119;112;106,9 dB(A)/106,9 dB(A);3300;kW Nennleist. Rotor.;508028;6011801;25.03.2014;10.10.2014;in Betrieb;51080496907;0004;G10/2013/163;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderheistedt;Vestas V112 3,3 MW;Vestas;119;112;107,1 dB(A)/107,1 dB(A);3300;kW Nennleist. Rotor.;508359;6012178;25.03.2014;02.10.2014;in Betrieb;51080496907;0005;G10/2013/164;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E115;Enercon;92;115;106,5 dB(A)/102,0 dB(A);3000;kW Nennleist. Rotor.;497505;6003735;13.12.2016;19.09.2017;in Betrieb;51081058727;0001;G10/2016/052;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E115;Enercon;92;115;106,5 dB(A)/102,0 dB(A);3000;kW Nennleist. Rotor.;497792;6003868;13.12.2016;26.09.2017;in Betrieb;51081058727;0002;G10/2016/051;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;501887;6003748;28.12.2016;20.12.2017;in Betrieb;51081058728;0045;G10/2016/109;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E115;Enercon;135,4;115,7;106,5 dB(A)/102,0 dB(A);3000;kW Nennleist. Rotor.;497660;6004130;13.12.2016;27.09.2017;in Betrieb;51081058729;0001;G10/2016/053;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Vestas V27;Vestas;31;27;100,7 dB(A)/100,7 dB(A);225;kW Nennleist. Rotor.;501177;6004978;31.12.1899;31.12.1899;in Betrieb;51081058730;0029;xy;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Enercon E-70 E4;Enercon;64;71;97,5;2300;kW Nennleist. Rotor.;497851;6004701;27.08.2010;28.01.2011;in Betrieb;51081058732;0002;G10/2009/107;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;500615;6004566;28.12.2016;22.12.2017;in Betrieb;51081058733;0001;G10/2016/093;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;500888;6005224;28.12.2016;22.11.2017;in Betrieb;51081058733;0002;G10/2016/096;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;500968;6004892;28.12.2016;22.11.2017;in Betrieb;51081058734;0001;G10/2016/097;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;500422;6005725;28.12.2016;20.12.2017;in Betrieb;51081058735;0001;G10/2016/090;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;500328;6006095;28.12.2016;20.12.2017;in Betrieb;51081058735;0002;G10/2016/089;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;501159;6004604;28.12.2016;08.11.2017;in Betrieb;51081058736;0001;G10/2016/098;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;500508;6005345;28.12.2016;19.12.2017;in Betrieb;51081058737;0001;G10/2016/091;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;500621;6004950;28.12.2016;20.12.2017;in Betrieb;51081058737;0002;G10/2016/092;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/ 101 dB(A);3450;kW Nennleist. Rotor.;500692;6006223;28.12.2016;08.12.2017;in Betrieb;51081058738;0001;G10/2016/094;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/ 101 dB(A);3450;kW Nennleist. Rotor.;500791;6005605;28.12.2016;01.12.2017;in Betrieb;51081058738;0002;G10/2016/095;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/ 101 dB(A);3450;kW Nennleist. Rotor.;501193;6006197;28.12.2016;09.11.2017;in Betrieb;51081058738;0003;G10/2016/102;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;501236;6005823;28.12.2016;08.11.2017;in Betrieb;51081058739;0001;G10/2016/103;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;501729;6005046;28.12.2016;08.12.2017;in Betrieb;51081058740;0001;G10/2016/105;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;501879;6004107;28.12.2016;17.11.2017;in Betrieb;51081058741;0001;G10/2016/107;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/ 101 dB(A) ;3450;kW Nennleist. Rotor.;501487;6003895;28.12.2016;01.12.2017;in Betrieb;51081058742;0001;G10/2016/108;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3450;kW Nennleist. Rotor.;501784;6003403;28.12.2016;16.11.2017;in Betrieb;51081058743;0001;G10/2016/110;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E-126-EP3 4 MW;Enercon;116;127;105,2 dB(A);4000;kW Nennleist. Rotor.;501335;6004169;;;im Gen.Verf.;51081058744;0001;G10/2019/069;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E-70 E-4 mit 2,0 MW;Enercon;64;70;101,8;2000;kW Nennleist. Rotor.;498118;6004484;17.04.2006;14.10.2009;in Betrieb;51081452497;0001;G40/2006/135;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;Enercon E-70 E-4 mit 2,0 MW;Enercon;64;70;101,8;2000;kW Nennleist. Rotor.;498411;6004707;17.04.2007;10.10.2009;in Betrieb;51081452497;0002;G40/2006/136;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Enercon E-70 E4;Enercon;64;71;103,1;2300;kW Nennleist. Rotor.;500741;6004149;18.11.2011;13.12.2012;in Betrieb;51081900006;0001;G10/2011/019;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Enercon E-70 E4;Enercon;64;71;98;2300;kW Nennleist. Rotor.;500975;6004235;18.11.2011;13.12.2012;in Betrieb;51081900006;0002;G10/2011/020;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Enercon E-70 E4;Enercon;64;71;98,3;2300;kW Nennleist. Rotor.;501556;6004447;18.11.2011;06.12.2012;in Betrieb;51081900006;0003;G10/2011/021;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Enercon E70 E4 ;Enercon;64;71;104,5;2300;kW Nennleist. Rotor.;500931;6005963;21.04.2011;19.11.2012;in Betrieb;51081900008;0001;G10/2010/093;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA 1 E-70 E4 Enercon;Enercon;64;71;104,5;2300;kW Nennleist. Rotor.;497574;6004424;16.11.2012;17.12.2013;in Betrieb;51081900010;0001;G10/2012/030;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA 2 E-70 E4 Enercon;Enercon;64;71;103,5;2300;kW Nennleist. Rotor.;497851;6004423;16.11.2012;19.12.2013;in Betrieb;51081900010;0002;G10/2012/031;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Oesterwurth;WKA Enercon E-70 E4;Enercon;64;71;104,5dB(A)/104,5dB(A);2300;kW Nennleist. Rotor.;500738;6006577;03.01.2013;11.12.2014;in Betrieb;51081900012;0001;G10/2012/045;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA 1 Vestas V112 3.3MW;Vestas;94;112;106,5 dB(A)/101,0 dB(A);3300;kW Nennleist. Rotor.;502894;6004190;17.12.2013;25.09.2014;in Betrieb;51081900013;0001;G10/2013/098;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V112 3.3MW;Vestas;94;112;106,5 dB(A)/101,0 dB(A);3300;kW Nennleist. Rotor.;502996;6003870;17.12.2013;22.09.2014;in Betrieb;51081900013;0002;G10/2013/099;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V112 3.3MW;Vestas;94;112;106,5 dB(A)/101,0 dB(A);3300;kW Nennleist. Rotor.;502996;6003534;17.12.2013;12.09.2014;in Betrieb;51081900013;0003;G10/2013/100;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;501171;6005469;28.12.2016;09.11.2017;in Betrieb;51081900013;0006;G10/2016/099;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;501244;6005136;28.12.2016;17.11.2017;in Betrieb;51081900013;0007;G10/2016/100;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A)/101 dB(A);3000;kW Nennleist. Rotor.;501530;6005341;28.12.2016;11.12.2017;in Betrieb;51081900013;0008;G10/2016/104;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;94;112;105,8 dB(A) /101 dB(A);3000;kW Nennleist. Rotor.;501920;6004488;28.12.2016;15.12.2017;in Betrieb;51081900013;0009;G10/2016/106;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Norderwöhrden;WKA Vestas V-112 NH 94 m;Vestas;119;112;105,8 dB(A)/ 101 dB(A);3000;kW Nennleist. Rotor.;501452;6004808;28.12.2016;22.11.2017;in Betrieb;51081900013;0010;G10/2016/101;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Oesterdeichstrich;Enercon E-82;Enercon;78,3;82;103;2000;kW Nennleist. Rotor.;492367;6002644;25.06.2007;08.01.2009;in Betrieb;51084519268;0002;G40/2006/154;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Osterrade;Enercon E-115 EP3 E3 ;Enercon;92;115,71;HZ /dB(A) | 63/78,5 | 125/83,7 | 250/86,3 | 500/88,1 | 1000/89,3 | 2000/90,3 | 4000/86,3 | 8000/ | SLP=95,7 dB(A)		104,8 dB(A);4200;kW Nennleist. Rotor.;526352;6005556;06.12.2021;20.07.2023;in Betrieb;51086060909;0001;G10/2021/324;10.10.2023;LfU SH, Abtl. 7
Dithmarschen;Wrohm;Vestas V112 3 MW;Vestas;94;112;106,5 dB(A)/102,5 dB(A);3000;kW Nennleist. Rotor.;526294;6006792;11.02.2014;22.10.2014;in Betrieb;51086419252;0001;G10/2013/038;10.10.2023;LfU SH, Abtl. 7
